"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Isaiah Hodgins","BUF","3.7","46.8","0.3","0.0","0.0","0.0","0.0","8.4"
"Greg Dortch","ARI","4.1","46.9","0.3","0.0","0.0","0.0","0.0","8.3"
"Marcus Johnson","TEN","3.6","43.6","0.3","0.0","0.0","0.0","0.0","8.1"
"Riley Ridley","CHI","3.8","45.4","0.3","0.0","0.0","0.0","0.0","8.0"
"Chester Rogers","TEN","3.9","38.0","0.3","0.0","0.0","0.0","0.0","7.7"
"Jakeem Grant Sr.","MIA","3.2","35.1","0.2","1.5","8.4","0.0","0.0","7.5"
"Trent Taylor","CIN","3.9","40.0","0.2","0.0","0.0","0.0","0.0","7.4"
"Zay Jones","LV","3.3","37.3","0.3","0.0","0.0","0.0","0.0","7.2"
"Dazz Newsome","CHI","3.3","42.6","0.2","0.0","0.0","0.0","0.0","7.1"
"Gunner Olszewski","NE","2.8","33.8","0.2","1.8","9.7","0.1","0.0","7.1"
"Tylan Wallace","BAL","3.0","38.7","0.3","0.0","0.0","0.0","0.0","7.0"
"Quez Watkins","PHI","2.9","37.8","0.2","0.0","0.0","0.0","0.0","6.2"
"Marcus Kemp","KC","2.4","30.5","0.2","0.0","0.0","0.0","0.0","5.4"
"Devin Funchess","GB","2.0","26.0","0.2","0.0","0.0","0.0","0.0","4.8"
"Justin Watson","TB","2.0","24.9","0.2","0.0","0.0","0.0","0.0","4.5"
"Isaac Whitney","ARI","2.1","24.1","0.2","0.0","0.0","0.0","0.0","4.5"
"Terry Godwin","JAC","2.0","22.5","0.2","0.0","0.0","0.0","0.0","4.3"
"Brandon Powell","BUF","2.0","21.8","0.2","0.0","0.0","0.0","0.0","4.2"
"J.J. Arcega-Whiteside","PHI","1.6","23.3","0.2","0.0","0.0","0.0","0.0","4.0"
"Braxton Berrios","NYJ","1.5","17.4","0.1","1.0","5.8","0.0","0.0","3.6"
"K.J. Hill Jr.","LAC","1.4","16.7","0.1","1.0","6.2","0.0","0.0","3.6"
"Allen Hurns","MIA","1.6","16.7","0.2","0.0","0.0","0.0","0.0","3.5"
"Dezmon Patmon","IND","1.6","20.7","0.1","0.0","0.0","0.0","0.0","3.5"
"Mike Strachan","IND","1.6","20.7","0.1","0.0","0.0","0.0","0.0","3.5"
"Seth Williams","DEN","1.7","20.3","0.1","0.0","0.0","0.0","0.0","3.5"
"Racey McMath","TEN","1.5","19.2","0.1","0.0","0.0","0.0","0.0","3.5"
"Equanimeous St. Brown","GB","1.3","17.1","0.2","0.0","0.0","0.0","0.0","3.4"
"Travis Benjamin","SF","1.2","17.3","0.2","0.0","0.0","0.0","0.0","3.3"
"Malik Taylor","GB","1.2","13.8","0.2","0.0","0.0","0.0","0.0","3.0"
"Malcolm Perry","MIA","0.9","9.1","0.0","1.8","9.4","0.1","0.0","2.7"
"Isaiah Ford","MIA","1.6","15.0","0.1","0.0","0.0","0.0","0.0","2.6"
"Kendall Hinton","DEN","1.1","12.1","0.0","1.2","6.4","0.0","0.0","2.5"
"Brandon Zylstra","CAR","1.2","15.3","0.1","0.0","0.0","0.0","0.0","2.4"
"Trent Sherfield","SF","1.1","14.5","0.1","0.0","0.0","0.0","0.0","2.4"
"Joe Reed","LAC","0.8","9.4","0.0","0.9","4.8","0.0","0.0","1.8"
"Trey Quinn","LV","1.2","12.3","0.0","0.0","0.0","0.0","0.0","1.8"
"Matt Cole","NYG","0.9","9.5","0.0","0.9","4.3","0.0","0.0","1.8"
"Damion Ratley","DET","1.0","11.6","0.0","0.0","0.0","0.0","0.0","1.7"
"DeMichael Harris","IND","0.7","8.1","0.0","0.9","4.7","0.0","0.0","1.6"
"Antonio Callaway","KC","0.9","11.1","0.0","0.0","0.0","0.0","0.0","1.6"
"Malik Turner","DAL","0.9","10.6","0.0","0.0","0.0","0.0","0.0","1.5"
"Kelvin Harmon","WAS","0.8","10.6","0.0","0.0","0.0","0.0","0.0","1.5"
"DeAndre Carter","WAS","0.9","10.4","0.0","0.0","0.0","0.0","0.0","1.5"
"Vyncint Smith","NYJ","0.9","10.1","0.0","0.0","0.0","0.0","0.0","1.4"
"Gehrig Dieter","KC","0.9","9.7","0.0","0.0","0.0","0.0","0.0","1.4"
"Isaiah Wright","WAS","0.9","9.6","0.0","0.0","0.0","0.0","0.0","1.4"
"Nsimba Webster","SF","0.9","9.5","0.0","0.0","0.0","0.0","0.0","1.4"
"Darrius Shepherd","KC","0.9","9.5","0.0","0.0","0.0","0.0","0.0","1.4"
"Jason Moore","LAC","0.8","9.5","0.0","0.0","0.0","0.0","0.0","1.4"
"Josh Malone","NYJ","0.9","9.4","0.0","0.0","0.0","0.0","0.0","1.4"
"Jeff Badet","ATL","0.9","9.3","0.0","0.0","0.0","0.0","0.0","1.4"
"Chris Rowland","ATL","0.9","9.3","0.0","0.0","0.0","0.0","0.0","1.4"
"Chad Hansen","DET","0.9","9.2","0.0","0.0","0.0","0.0","0.0","1.3"
"Keelan Doss","LV","0.8","9.3","0.0","0.0","0.0","0.0","0.0","1.3"
"Tanner Gentry","BUF","0.8","9.2","0.0","0.0","0.0","0.0","0.0","1.3"
"Trenton Irwin","CIN","0.8","9.2","0.0","0.0","0.0","0.0","0.0","1.3"
"Cyril Grayson Jr.","TB","0.9","9.0","0.0","0.0","0.0","0.0","0.0","1.3"
"Lawrence Cager","NYJ","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.3"
